force_field	family	release_scope	status	artifacts	next_validation	blocker
parmbsc1/OL3	AMBER additive	include_baseline	validated_baseline_one_step_regression_pass	params/db_bsc1; params/top_all99-bsc1_prot_hybrid_chidef.rtf	keep bsc1 in baseline regression set before release	none
parmbsc0/OL3-like	AMBER additive	include_baseline	validated_baseline_one_step_regression_pass	params/db_bs0; params/top_all99-bs0_prot_hybrid_chidef.rtf	keep bs0 in baseline regression set before release; database allocator cleanup remains a separate source-hygiene task	none
OL21/OL3	AMBER additive	include_now	1efs_reduced_and_terminal_validation_pass	params/db_ol21_ol3; params/top_openmm-ol21_ol3_hybrid_chidef.rtf; params/db_ol21_ol3_terminal; params/top_openmm-ol21_ol3_terminal_hybrid_chidef.rtf	release summary; optional GROMACS cross-check; use standard profile for internalized systems and terminal profile for true-terminal systems	none
OL15/OL3	AMBER additive	include_now	1efs_reduced_and_terminal_validation_pass	params/db_ol15_ol3; params/top_openmm-ol15_ol3_hybrid_chidef.rtf; params/db_ol15_ol3_terminal; params/top_openmm-ol15_ol3_terminal_hybrid_chidef.rtf	release summary; optional GROMACS cross-check; use standard profile for internalized systems and terminal profile for true-terminal systems	none
OL24/OL3	AMBER additive	include_now	1efs_reduced_and_terminal_validation_pass	params/db_ol24_ol3; params/top_amber-ol24_ol3_hybrid_chidef.rtf; params/db_ol24_ol3_terminal; params/top_amber-ol24_ol3_terminal_hybrid_chidef.rtf	Use prmtop-derived converter route from official ff-DNA-OL24 source; standard profile for matched 1EFS/internalized systems and terminal profile for true-terminal pure DNA/RNA sequence systems	none
OL21/ROC-RNA	AMBER additive	watchlist_candidate	source_needed	not_generated	obtain official ROC-RNA source and validate RNA-only before hybrid	official local source not present in current OpenMM installation
Tumuc1/OL3	AMBER additive	watchlist_candidate	source_needed	not_generated	obtain official Tumuc1 source and validate DNA-only before hybrid	official local source not present in current OpenMM installation
Tumuc1/ROC-RNA	AMBER additive	watchlist_candidate	source_needed	not_generated	implement only after Tumuc1/OL3 and OL21/ROC-RNA pass independent validation	two unresolved parameter sources
CHARMM36+sHBfix	CHARMM additive plus empirical H-bond stabilization	out_of_scope_this_project	excluded_base_charmm36_record_only	db_charmm36 exists locally for unsupported-term records, not_for_release; sHBfix not implemented	none for this project	scope narrowed to validated AMBER-family force fields; base CHARMM36 deck was generated to record unsupported terms (Urey-Bradley, CMAP, custom torsions) but is not a release target
DES-Amber/DES-Amber	DES-Amber additive	blocked	blocked_not_generated	not_generated	resolve public parameter provenance and DNA/RNA namespace transformation before implementation	provenance and namespace unresolved
Drude polarizable	CHARMM Drude polarizable	exclude_paper01	excluded_not_generated	not_generated	none for Paper 01	polarizable support outside Paper 01 scope
AMOEBA polarizable	AMOEBA polarizable	exclude_paper01	excluded_not_generated	not_generated	none for Paper 01	polarizable support outside Paper 01 scope
